,id,avg_valence,avg_arousal,avg_dominance,avg_intensity_anger,avg_intensity_anticipation,avg_intensity_disgust,avg_intensity_fear,avg_intensity_joy,avg_intensity_sadness,avg_intensity_surprise,avg_intensity_trust,sentiment_score
61,u809p10,0.66938096,0.5162527,0.61555356,0.3962191538059282,0.4706751707582679,0.5161707700306853,0.3190118211062165,0.4152306839924978,0.1322404414834507,0.3241999277960057,0.4054725958756256,0.4220064275167202
62,u25p9,0.5944111,0.3491724,0.39674637,0.3962191538059282,0.5852036892154312,0.7981889218720866,0.394844229509202,0.4063986051430499,0.4950819655044803,0.4495305063014903,0.3553659969743971,0.326448362720403
63,u755p10,0.7547481,0.4833261,0.6702093,0.1363140682497235,0.5714286245142909,0.3480737512947601,0.1328320741232084,0.5317769395461037,0.3821195590313531,0.0821596242283959,0.4108030810644119,0.3855606468307528
64,u276p2,0.52601236,0.34708515,0.19303362,0.3962191538059282,0.299251862601828,0.3480737512947601,0.3164190448442586,0.6718547769519347,0.3821195590313531,0.3241999277960057,0.5255863098428554,0.4001500616324562
65,u498p9,0.55733305,0.5595647,0.49794105,0.4743729601090226,0.4893322671880561,0.7884863957574754,0.4356203042211263,0.4450929595722597,0.5315573690132591,0.5410797771349466,0.4415778225991704,0.3727229026861768
66,u673p8,0.76712334,0.52118444,0.65312016,0.3962191538059282,0.4367652306034628,0.3480737512947601,0.220193339522757,0.3553826329339674,0.3071038051669473,0.3832159670138663,0.448027705864938,0.4584094998200792
67,u278p8,0.6815247,0.4226918,0.56598574,0.3962191538059282,0.4967133897733594,0.3480737512947601,0.3164190448442586,0.4737335617050322,0.3821195590313531,0.3241999277960057,0.2665245136168968,0.326448362720403
68,u114p9,0.6604271,0.36606544,0.5306797,0.3962191538059282,0.5978387840989173,0.3480737512947601,0.2438238599062308,0.449879576002234,0.3821195590313531,0.2812989160236059,0.5464236610353835,0.401519133438872
69,u703p2,0.5261688,0.5259443,0.4058323,0.3962191538059282,0.4967133897733594,0.2432082835268511,0.2094521953489547,0.478166889646153,0.2196721151824882,0.3241999277960057,0.3496801715241168,0.326448362720403
70,u668p10,0.81678945,0.54692715,0.8865676,0.1663031671646395,0.532834641130114,0.1416558836858501,0.2524167560386204,0.6332979925197716,0.3672131011918127,0.3392018548097847,0.6316377125567985,0.5848338059924962
71,u975p3,0.75158507,0.428758,0.69906193,0.3958560601771617,0.5239678678935116,0.7981889218720866,0.4828141537165114,0.5636258820458456,0.8114753986231522,0.3288341096322321,0.584120230063756,0.4287600038261646
72,u26p3,0.73625696,0.45411646,0.6389691,0.3962191538059282,0.6363720232638468,0.3480737512947601,0.3164190448442586,0.7131740164020621,0.3071038051669473,0.3546557230580733,0.5283970055593086,0.635732277797769
