,id,avg_valence,avg_arousal,avg_dominance,avg_intensity_anger,avg_intensity_anticipation,avg_intensity_disgust,avg_intensity_fear,avg_intensity_joy,avg_intensity_sadness,avg_intensity_surprise,avg_intensity_trust,sentiment_score
79,u22p7,0.703311,0.37332028,0.5625422,0.5147219248309377,0.6837464667911037,0.2741867314821215,0.536541853657012,0.4878636224051081,0.5300997925709113,0.3586285850096721,0.4009725884791447,0.4314277861756218
80,u826p4,0.62410337,0.5325071,0.522162,0.5843589351425413,0.4152823933423393,0.4752851708513252,0.7688650962203932,0.5693903702896119,0.6762494616205746,0.4862856908671712,0.4078627637842995,0.3126979339466144
81,u897p7,0.6745484,0.52326316,0.57365507,0.60668851216991,0.5478958966261395,0.8833966962397898,0.6189627140954466,0.5201037832077748,0.2862745324787499,0.5889523404925863,0.6119289480246157,0.3985997102848865
82,u635p7,0.66658574,0.18701945,0.4310019,0.4295700316925203,0.4875415400810544,0.3624657772533115,0.5121806252639439,0.1647211502738074,0.3883571770310157,0.3669586602518144,0.4505095825771374,0.3532487570718327
83,u258p1,0.7047557,0.30025172,0.4823921,0.3184296587513822,0.6350261052503177,0.5640050594635411,0.187165753431965,0.4367055963215816,0.172342620052922,0.5288571670323,0.4083805074049488,0.4534066330209084
84,u882p9,0.6691386,0.31174037,0.3927855,0.4295700316925203,0.445182687246705,0.3624657772533115,0.3725490119691602,0.3117472775374962,0.3384933077330661,0.1888000012397766,0.2946394567080605,0.4298245614035088
85,u953p10,0.6602966,0.3903215,0.5558172,0.5372591756216092,0.4991694459065074,0.2606675067629009,0.6372548582553658,0.39188437131584,0.52605781023234,0.2975238110548785,0.4586636058365839,0.4366421234433233
86,u314p10,0.6720345,0.37423956,0.5115537,0.4295700316925203,0.8430232466036243,0.3624657772533115,0.3973221787567724,0.4831388139058103,0.1289989704204717,0.3478095246399341,0.4233942623746463,0.3886501969208736
87,u619p10,0.6759673,0.4129593,0.59432465,0.2490003547028877,0.6887647422485248,0.3624657772533115,0.2886214963319615,0.5454454986345144,0.2855177257081542,0.5662856820116241,0.5124329346504948,0.4971044115142224
88,u100p1,0.65386003,0.32432255,0.4742174,0.4187568213031292,0.6677741051283361,0.0944233174425545,0.3929490638620315,0.4145465448023521,0.3409700683798768,0.4666666689373198,0.4331013814911853,0.3658213992520295
89,u440p5,0.6892844,0.41523904,0.5003239,0.7273718635005529,0.5682249419894327,0.1539923801147178,0.4111705182617907,0.5570306395518612,0.2115583096442285,0.3122857016130371,0.4620611380288292,0.4500048823357094
